locale,group,key,value,unicodeCodePoints,utf8Bytes,basis
"sv-SE","names","Aspect Ratio","Sidförhållande","14","16","canon-adapted"
"sv-SE","names","Tilt-Shift","Tilt och shift","14","14","review-required"
"sv-SE","names","Hide Self","Dölj dig själv","14","16","dictionary-candidate"
"sv-SE","names","Go To Pin","Gå till markör","14","16","dictionary-candidate"
"sv-SE","names","Vertical","Endast lodrätt","14","15","dictionary-candidate"
"sv-SE","names","Fitted","Anpassad kurva","14","14","review-required"
"sv-SE","dynamic","WorldDrop","Fäst i världen","14","16","dictionary-candidate"
"sv-SE","dynamic","CameraPinDrop","Placera markör","14","15","dictionary-candidate"
"sv-SE","featureBlanks","118","Mot nära: lite","14","15","canon-adapted"
"th-TH","names","Depth Cool","ความลึกโทนเย็น","14","42","review-required"
"th-TH","names","Look At Face","หันไปที่ใบหน้า","14","42","review-required"
"th-TH","names","Auto Focus","โฟกัสอัตโนมัติ","14","42","canon-exact"
"th-TH","names","Responsive","ตอบสนองรวดเร็ว","14","42","canon-adapted"
"th-TH","names","Enabled","เปิดใช้งานแล้ว","14","42","canon-adapted"
"th-TH","names","Contrast","ความเปรียบต่าง","14","42","canon-exact"
"th-TH","names","Depth Fog","หมอกตามระยะลึก","14","42","review-required"
"th-TH","names","Reverse Fisheye","ฟิชอายย้อนกลับ","14","42","review-required"
"th-TH","names","Y","ตำแหน่งแนวตั้ง","14","42","review-required"
"th-TH","names","Center X","กึ่งกลางแนวนอน","14","42","review-required"
"th-TH","names","Peaking","การเน้นเส้นขอบ","14","42","canon-adapted"
"th-TH","names","Max Blur Size","ขนาดเบลอสูงสุด","14","42","review-required"
"th-TH","names","Playback","ตำแหน่งการเล่น","14","42","review-required"
"th-TH","names","Drop Next","วางจุดปักถัดไป","14","42","review-required"
"th-TH","dynamic","FisheyeCenterY","ตำแหน่งแนวตั้ง","14","42","review-required"
"th-TH","sensorBlanks","0","ฟูลเฟรม 35 มม.","14","32","review-required"
"tr-TR","names","Depth Cool","Soğuk derinlik","14","15","dictionary-candidate"
"tr-TR","names","Blue Back","Mavi arka plan","14","14","dictionary-candidate"
"tr-TR","names","DoF Mode","Alan derinliği","14","15","canon-exact"
"tr-TR","names","Smoothing","Takibi yumuşat","14","15","review-required"
"tr-TR","names","Temperature","Renk Sıcaklığı","14","18","canon-exact"
"tr-TR","names","Fisheye Lens","Balıkgözü lens","14","17","dictionary-candidate"
"tr-TR","names","Reverse Fisheye","Ters balıkgözü","14","17","dictionary-candidate"
"tr-TR","names","Pixelation","Pikselleştirme","14","15","adobe-exact"
"tr-TR","names","Peaking","Kontur vurgusu","14","14","canon-adapted"
"tr-TR","names","Playback","Oynatma konumu","14","14","review-required"
"tr-TR","names","Vertical","Yalnızca dikey","14","15","dictionary-candidate"
"tr-TR","sensorBlanks","0","35 mm tam kare","14","14","dictionary-candidate"
"uk-UA","names","Infinity","Нескінченність","14","28","canon-adapted"
"uk-UA","names","Sensor Type","Розмір датчика","14","27","review-required"
"uk-UA","names","Hand-Rotate","Обертати рукою","14","27","review-required"
"uk-UA","names","Responsive","Швидка реакція","14","27","canon-adapted"
"uk-UA","names","Anamorphic Bokeh","Анаморфне боке","14","27","review-required"
"uk-UA","names","Highlights","Світлі ділянки","14","27","review-required"
"uk-UA","names","4:5 Portrait","4:5 Портретний","14","24","review-required"
"uk-UA","names","Hide Self","Приховати себе","14","27","review-required"
"uk-UA","names","Show Pins","Показати мітки","14","27","review-required"
"bg-BG","names","Responsive","Бърза реакция","13","25","canon-adapted"
"bg-BG","names","Midtones","Средни тонове","13","25","review-required"
"bg-BG","names","Highlights","Светли тонове","13","25","review-required"
"bg-BG","names","4:5 Portrait","4:5 Портретен","13","22","review-required"
"bg-BG","names","Teleport","Телепортиране","13","26","dictionary-candidate"
"bg-BG","names","Full","Всички посоки","13","25","review-required"
"cs-CZ","names","Depth Cute","Jemná hloubka","13","14","dictionary-candidate"
"cs-CZ","names","Green Back","Zelené pozadí","13","15","dictionary-candidate"
"cs-CZ","names","Track Self","Sledovat sebe","13","13","dictionary-candidate"
"cs-CZ","names","Quick Selfie","Rychlé selfie","13","14","dictionary-candidate"
"cs-CZ","names","Increase","Přivřít clonu","13","16","canon-adapted"
"cs-CZ","names","Decrease","Otevřít clonu","13","15","canon-adapted"
"cs-CZ","names","Av Dial","Hodnota clony","13","13","canon-adapted"
"cs-CZ","names","Move HUD","Přesunout HUD","13","14","dictionary-candidate"
"cs-CZ","names","White Bal.","Vyvážení bílé","13","18","canon-exact"
"cs-CZ","names","Responsive","Rychlá odezva","13","14","canon-adapted"
"cs-CZ","names","Y","Svislá poloha","13","14","dictionary-candidate"
"cs-CZ","names","Letterbox","Filmové pruhy","13","14","dictionary-candidate"
"cs-CZ","names","Dither","Rozklad barev","13","13","review-required"
"cs-CZ","names","Depth Mode","Režim hloubky","13","14","dictionary-candidate"
"cs-CZ","names","Zone Size","Velikost zóny","13","14","dictionary-candidate"
"cs-CZ","names","Avatar Offset","Posun avataru","13","13","review-required"
"cs-CZ","names","Full","Všechny směry","13","15","review-required"
"cs-CZ","dynamic","FisheyeCenterY","Svislá poloha","13","14","dictionary-candidate"
"da-DK","names","Settings","Indstillinger","13","13","canon-exact"
"da-DK","names","Green Back","Grøn baggrund","13","14","dictionary-candidate"
"da-DK","names","Track Self","Spor dig selv","13","13","dictionary-candidate"
"da-DK","names","Picture Style","Picture Style","13","13","canon-exact"
"da-DK","names","Quick Selfie","Hurtig selfie","13","13","dictionary-candidate"
"da-DK","names","DoF Mode","Dybdeskarphed","13","13","canon-adapted"
"da-DK","names","Change Angle","Skift retning","13","13","dictionary-candidate"
"da-DK","names","Smooth Rotate","Blød rotation","13","14","dictionary-candidate"
"da-DK","names","Axial Focus-Aware","Fokusafhængig","13","14","review-required"
"da-DK","names","Block Size","Blokstørrelse","13","14","review-required"
"da-DK","names","Tilt-Shift","Tilt og shift","13","13","review-required"
"da-DK","names","Depth Mode","Dybdetilstand","13","13","review-required"
"da-DK","names","Center X","Vandret midte","13","13","dictionary-candidate"
"da-DK","names","Zone Size","Zonestørrelse","13","14","review-required"
"da-DK","names","Go To Pin","Gå til markør","13","15","review-required"
"da-DK","dynamic","CameraPinDrop","Placér markør","13","15","review-required"
"da-DK","featureBlanks","129","Ret lidt opad","13","13","dictionary-candidate"
"de-DE","names","Settings","Einstellungen","13","13","canon-exact"
"de-DE","names","Decrease","Blende öffnen","13","14","canon-adapted"
"de-DE","names","DoF Mode","Schärfentiefe","13","14","canon-exact"
"de-DE","names","Axial Focus-Aware","Fokusabhängig","13","14","review-required"
"de-DE","names","Color Grading","Color-Grading","13","13","dictionary-candidate"
"de-DE","names","Lens Size","Objektivgröße","13","15","review-required"
"de-DE","names","4:3 Classic","4:3 Klassisch","13","13","review-required"
"de-DE","names","9:16 Vertical","9:16 Vertikal","13","13","dictionary-candidate"
"de-DE","names","Vignette","Vignettierung","13","13","review-required"
"de-DE","names","Peaking","Fokus-Peaking","13","13","canon-adapted"
"de-DE","names","Teleport","Teleportieren","13","13","dictionary-candidate"
"de-DE","names","Show Path","Pfad anzeigen","13","13","dictionary-candidate"
"el-GR","names","Green Back","Πράσινο φόντο","13","25","dictionary-candidate"
"el-GR","names","Tracking","Παρακολούθηση","13","26","canon-exact"
"el-GR","names","Operation","Λειτουργία AF","13","23","canon-exact"
"el-GR","names","Midtones","Μεσαίοι τόνοι","13","25","dictionary-candidate"
"el-GR","names","Depth Fog","Ομίχλη βάθους","13","25","review-required"
"el-GR","names","Fisheye Lens","Φακός fisheye","13","18","dictionary-candidate"
"el-GR","names","Roundness","Στρογγυλότητα","13","26","review-required"
"el-GR","names","Lens Size","Μέγεθος φακού","13","25","dictionary-candidate"
"el-GR","names","1:1 Square","1:1 Τετράγωνο","13","22","dictionary-candidate"
"el-GR","names","Block Size","Μέγεθος μπλοκ","13","25","dictionary-candidate"
"el-GR","names","Focus Zone","Ζώνη εστίασης","13","25","dictionary-candidate"
"el-GR","names","Zone Size","Μέγεθος ζώνης","13","25","dictionary-candidate"
"es-419","names","Display","Visualización","13","14","canon-exact"
"es-419","names","Quick Selfie","Selfie rápido","13","14","review-required"
"es-419","names","Movie Mode","Modo de vídeo","13","14","review-required"
"es-419","names","Magenta-Green","Magenta-Verde","13","13","review-required"
"es-419","names","Highlights","Iluminaciones","13","13","adobe-exact"
"es-419","names","9:16 Vertical","9:16 Vertical","13","13","review-required"
"es-419","names","Vertical","Solo vertical","13","13","review-required"
"es-ES","names","Display","Visualización","13","14","canon-exact"
"es-ES","names","Quick Selfie","Selfie rápido","13","14","review-required"
"es-ES","names","Movie Mode","Modo de vídeo","13","14","review-required"
"es-ES","names","Magenta-Green","Magenta-Verde","13","13","review-required"
"es-ES","names","Highlights","Iluminaciones","13","13","adobe-exact"
"es-ES","names","9:16 Vertical","9:16 Vertical","13","13","review-required"
"es-ES","names","Vertical","Solo vertical","13","13","review-required"
"fi-FI","names","Advanced","Lisäasetukset","13","14","review-required"
"fi-FI","names","Depth Cool","Viileä syvyys","13","14","dictionary-candidate"
"fi-FI","names","Depth Cute","Pehmeä syvyys","13","14","dictionary-candidate"
"fi-FI","names","Green Back","Vihreä tausta","13","14","dictionary-candidate"
"fi-FI","names","Show/Hide","Näytä/Piilota","13","15","review-required"
"fi-FI","names","Bokeh Shape","Bokehin muoto","13","13","dictionary-candidate"
"fi-FI","names","Focus Guide","Tarkennusopas","13","13","canon-exact"
"fi-FI","names","Custom","Lisätoiminnot","13","14","review-required"
"fi-FI","names","Smooth Rotate","Pehmeä kierto","13","14","dictionary-candidate"
"fi-FI","names","Temperature","Värilämpötila","13","16","canon-exact"
"fi-FI","names","Letterbox","Elokuvarajaus","13","13","review-required"
"fi-FI","names","4:3 Classic","4:3 Klassinen","13","13","review-required"
"fi-FI","names","4:5 Portrait","4:5 Pystykuva","13","13","review-required"
"fi-FI","names","Show Numbers","Näytä numerot","13","15","review-required"
"fi-FI","tonemapBlanks","0","Pois käytöstä","13","16","review-required"
"fi-FI","tonemapBlanks","1","Filmimäinen 1","13","14","review-required"
"fi-FI","tonemapBlanks","2","Filmimäinen 2","13","14","review-required"
"fr-FR","names","Focus","Mise au point","13","13","canon-exact"
"fr-FR","names","Reset","Réinitialiser","13","14","canon-exact"
"fr-FR","names","Picture Style","Style d'image","13","13","canon-exact"
"fr-FR","names","Quick Selfie","Selfie rapide","13","13","dictionary-candidate"
"fr-FR","names","Color Grading","Color Grading","13","13","adobe-exact"
"fr-FR","names","1.85:1 Theatrical","1.85:1 Cinéma","13","14","dictionary-candidate"
"fr-FR","names","4:3 Classic","4:3 Classique","13","13","dictionary-candidate"
"fr-FR","names","9:16 Vertical","9:16 Vertical","13","13","dictionary-candidate"
"fr-FR","names","Pixelation","Pixellisation","13","13","adobe-exact"
"fr-FR","names","Teleport","Téléportation","13","15","review-required"
"hu-HU","names","Reset","Visszaállítás","13","16","canon-adapted"
"hu-HU","names","Depth Cool","Hideg mélység","13","15","dictionary-candidate"
"hu-HU","names","Increase","Rekesz zárása","13","15","canon-adapted"
"hu-HU","names","Move HUD","HUD mozgatása","13","14","review-required"
"hu-HU","names","Responsive","Gyors reakció","13","14","canon-adapted"
"hu-HU","names","Smooth Rotate","Sima forgatás","13","14","dictionary-candidate"
"hu-HU","names","Anamorphic Bokeh","Anamorf bokeh","13","13","review-required"
"hu-HU","names","Color Grading","Színminősítés","13","17","review-required"
"hu-HU","names","Start Distance","Kezdőtávolság","13","16","review-required"
"hu-HU","names","Dither","Színközelítés","13","17","review-required"
"hu-HU","names","Posterize","Poszterizáció","13","15","review-required"
"hu-HU","names","Zone Softness","Zóna lágysága","13","16","dictionary-candidate"
"hu-HU","names","Move","Kézi mozgatás","13","15","review-required"
"it-IT","names","Focus","Messa a fuoco","13","13","canon-exact"
"it-IT","names","Look At Face","Punta al viso","13","13","dictionary-candidate"
"it-IT","names","Quick Selfie","Selfie rapido","13","13","dictionary-candidate"
"it-IT","names","Track Pivot","Insegui perno","13","13","dictionary-candidate"
"it-IT","names","Magenta-Green","Magenta-Verde","13","13","dictionary-candidate"
"it-IT","names","Color Grading","Color Grading","13","13","adobe-exact"
"it-IT","names","1.85:1 Theatrical","1.85:1 Cinema","13","13","dictionary-candidate"
"it-IT","names","Pixelation","Effetto pixel","13","13","adobe-exact"
"it-IT","names","Teleport","Teletrasporto","13","13","review-required"
"it-IT","names","Show Numbers","Mostra numeri","13","13","dictionary-candidate"
"it-IT","dynamic","CameraPin","Marcatore {0}","13","13","dictionary-candidate"
"nb-NO","names","Settings","Innstillinger","13","13","review-required"
"nb-NO","names","Track Self","Følg deg selv","13","14","dictionary-candidate"
"nb-NO","names","Manual Focus","Manuell fokus","13","13","review-required"
"nb-NO","names","DoF Mode","Dybdeskarphet","13","13","canon-adapted"
"nb-NO","names","Change Angle","Endre retning","13","13","dictionary-candidate"
"nb-NO","names","Smooth Rotate","Jevn dreining","13","13","dictionary-candidate"
"nb-NO","names","Axial Focus-Aware","Fokusavhengig","13","13","review-required"
"nb-NO","names","Magenta-Green","Magenta-Grønn","13","14","dictionary-candidate"
"nb-NO","names","9:16 Vertical","9:16 Loddrett","13","13","review-required"
"nb-NO","names","Posterize","Posterisering","13","13","review-required"
"nb-NO","names","Zoom Blur","Zoomuskarphet","13","13","review-required"
"nb-NO","names","Zone Size","Sonestørrelse","13","14","review-required"
"nb-NO","names","Dolly","Kamerakjøring","13","14","review-required"
"nb-NO","names","Move","Flytt manuelt","13","13","dictionary-candidate"
"nb-NO","names","Go To Pin","Gå til markør","13","15","dictionary-composition"
"nb-NO","names","Vertical","Bare loddrett","13","13","dictionary-candidate"
"nb-NO","dynamic","WorldDrop","Fest i verden","13","13","dictionary-candidate"
"nl-NL","names","Depth Cute","Zachte diepte","13","13","dictionary-candidate"
"nl-NL","names","Track Self","Jezelf volgen","13","13","dictionary-candidate"
"nl-NL","names","Quick Selfie","Snelle selfie","13","13","dictionary-candidate"
"nl-NL","names","Sensor Type","Sensorgrootte","13","13","review-required"
"nl-NL","names","Drone Speed","Dronesnelheid","13","13","review-required"
"nl-NL","names","Focus Guide","Focusgeleider","13","13","canon-exact"
"nl-NL","names","Responsive","Snel reageren","13","13","canon-adapted"
"nl-NL","names","Anamorphic Bokeh","Anamorf bokeh","13","13","dictionary-candidate"
"nl-NL","names","Magenta-Green","Magenta-Groen","13","13","dictionary-candidate"
"nl-NL","names","Color Grading","Kleurverlopen","13","13","adobe-exact"
"nl-NL","names","Zoom Blur","Zoomvervaging","13","13","review-required"
"nl-NL","names","Zone Softness","Zonezachtheid","13","13","review-required"
"nl-NL","names","Show Numbers","Nummers tonen","13","13","dictionary-candidate"
"nl-NL","names","Reverse","Heen en terug","13","13","dictionary-candidate"
"nl-NL","dynamic","CameraPin","Markering {0}","13","13","dictionary-candidate"
"nl-NL","tonemapBlanks","0","Uitgeschakeld","13","13","review-required"
"nn-NO","names","Settings","Innstillingar","13","13","review-required"
"nn-NO","names","Green Back","Grøn bakgrunn","13","14","review-required"
"nn-NO","names","Manual Focus","Manuell fokus","13","13","review-required"
"nn-NO","names","Change Angle","Endre retning","13","13","review-required"
"nn-NO","names","Axial Focus-Aware","Fokusavhengig","13","13","review-required"
"nn-NO","names","9:16 Vertical","9:16 Loddrett","13","13","review-required"
"nn-NO","names","Block Size","Blokkstorleik","13","13","review-required"
"nn-NO","names","Posterize","Posterisering","13","13","review-required"
"nn-NO","names","Dolly","Kamerakøyring","13","14","review-required"
"nn-NO","names","Move","Flytt manuelt","13","13","review-required"
"nn-NO","names","Go To Pin","Gå til markør","13","15","dictionary-composition"
"pl-PL","names","Look Down","Skieruj w dół","13","15","review-required"
"pl-PL","names","Bokeh Shape","Kształt bokeh","13","14","review-required"
"pl-PL","names","Highlights","Podświetlenia","13","14","adobe-exact"
"pl-PL","names","1.85:1 Theatrical","1.85:1 Kinowy","13","13","review-required"
"pl-PL","names","4:3 Classic","4:3 Klasyczny","13","13","review-required"
"pl-PL","names","Block Size","Rozmiar bloku","13","13","review-required"
"pl-PL","names","Aspect Ratio","Format obrazu","13","13","canon-exact"
"pl-PL","names","Drop (Reset to Hand)","Wróć do dłoni","13","16","review-required"
"pl-PL","names","Reset to Hand","Wróć do dłoni","13","16","review-required"
"pl-PL","names","Show Path","Pokaż ścieżkę","13","17","review-required"
"pl-PL","names","Vertical","Tylko pionowo","13","13","review-required"
"pt-PT","names","Picture Style","Estilo Imagem","13","13","canon-exact"
"pt-PT","names","Quick Selfie","Selfie rápida","13","14","dictionary-candidate"
"pt-PT","names","Movie Mode","Modo de filme","13","13","dictionary-candidate"
"pt-PT","names","Mount Swap","Mudar suporte","13","13","dictionary-candidate"
"pt-PT","names","Move Focus","Mover focagem","13","13","dictionary-candidate"
"pt-PT","names","Drive Speed","Velocidade AF","13","13","canon-exact"
"pt-PT","names","Locked-on","Manter motivo","13","13","canon-adapted"
"pt-PT","names","Smooth Rotate","Rotação suave","13","15","dictionary-candidate"
"pt-PT","names","Magenta-Green","Magenta-Verde","13","13","dictionary-candidate"
"pt-PT","names","1.85:1 Theatrical","1.85:1 Cinema","13","13","dictionary-candidate"
"pt-PT","names","9:16 Vertical","9:16 Vertical","13","13","dictionary-candidate"
"pt-PT","names","Dither","Pontilhamento","13","13","review-required"
"pt-PT","names","Hand Offset","Desvio da mão","13","14","dictionary-candidate"
"ro-RO","names","Move Camera","Mutare cameră","13","14","dictionary-candidate"
"ro-RO","names","Drone Speed","Viteza dronei","13","13","review-required"
"ro-RO","names","White Bal.","Balans de alb","13","13","canon-exact"
"ro-RO","names","Responsive","Răspuns rapid","13","14","canon-adapted"
"ro-RO","names","Magenta-Green","Magenta-Verde","13","13","dictionary-candidate"
"ro-RO","names","1.85:1 Theatrical","1.85:1 Cinema","13","13","dictionary-candidate"
"ro-RO","names","9:16 Vertical","9:16 Vertical","13","13","dictionary-candidate"
"ro-RO","names","Vertical","Doar vertical","13","13","dictionary-candidate"
"ru-RU","names","Advanced","Дополнительно","13","26","dictionary-candidate"
"ru-RU","names","Hexagon","Шестиугольник","13","26","dictionary-candidate"
"ru-RU","names","Infinity","Бесконечность","13","26","canon-adapted"
"ru-RU","names","Quick Selfie","Быстрое селфи","13","25","dictionary-candidate"
"ru-RU","names","Hand-Rotate","Вращать рукой","13","25","dictionary-candidate"
"ru-RU","names","White Bal.","Баланс белого","13","25","canon-exact"
"ru-RU","names","One-Shot AF","Покадровый AF","13","23","canon-exact"
"ru-RU","names","Contrast","Контрастность","13","26","canon-exact"
"ru-RU","names","Intensity","Интенсивность","13","26","adobe-exact"
"ru-RU","names","Depth Mode","Режим глубины","13","25","dictionary-candidate"
"ru-RU","names","Zone Softness","Мягкость зоны","13","25","dictionary-candidate"
"ru-RU","names","Play","Воспроизвести","13","26","canon-adapted"
"ru-RU","names","Hand Offset","Смещение руки","13","25","dictionary-candidate"
"sv-SE","names","Settings","Inställningar","13","14","canon-exact"
"sv-SE","names","Green Back","Grön bakgrund","13","14","dictionary-candidate"
"sv-SE","names","Hide Lens","Dölj objektiv","13","14","dictionary-candidate"
"sv-SE","names","Sensor Type","Sensorstorlek","13","13","review-required"
"sv-SE","names","Move Camera","Flytta kamera","13","13","dictionary-candidate"
"sv-SE","names","Vertical Lock","Vertikalt lås","13","14","dictionary-candidate"
"sv-SE","names","Smooth Rotate","Mjuk rotation","13","13","dictionary-candidate"
"sv-SE","names","Axial Focus-Aware","Fokusberoende","13","13","review-required"
"sv-SE","names","Color Grading","Färggradering","13","14","adobe-exact"
"sv-SE","names","Letterbox","Biografbalkar","13","13","review-required"
"sv-SE","names","16:9 Widescreen","16:9 Bredbild","13","13","review-required"
"sv-SE","names","Posterize","Färgreduktion","13","14","review-required"
"sv-SE","names","Show Pins","Visa markörer","13","14","dictionary-candidate"
"th-TH","names","Change Angle","เปลี่ยนทิศทาง","13","39","review-required"
"th-TH","names","Track Pivot","ติดตามจุดหมุน","13","39","review-required"
"th-TH","names","One-Shot AF","AF ครั้งเดียว","13","33","canon-exact"
"th-TH","names","Magenta-Green","ม่วงแดง-เขียว","13","37","dictionary-candidate"
"th-TH","names","X","ตำแหน่งแนวนอน","13","39","review-required"
"th-TH","names","Move","ย้ายด้วยตนเอง","13","39","review-required"
"th-TH","names","Hand Offset","ระยะเยื้องมือ","13","39","review-required"
"th-TH","dynamic","FisheyeCenterX","ตำแหน่งแนวนอน","13","39","review-required"
"th-TH","featureBlanks","130","หันลงเล็กน้อย","13","39","review-required"
"tr-TR","names","Look Up","Yukarı yönelt","13","15","dictionary-candidate"
"tr-TR","names","Auto Focus","Otomatik odak","13","13","canon-adapted"
"tr-TR","names","Quick Selfie","Hızlı özçekim","13","17","dictionary-candidate"
"tr-TR","names","Sensor Type","Sensör boyutu","13","14","dictionary-candidate"
"tr-TR","names","Move Camera","Kamerayı taşı","13","16","dictionary-candidate"
"tr-TR","names","AF Lock","Odağı kilitle","13","15","review-required"
"tr-TR","names","Magenta-Green","Macenta-Yeşil","13","14","dictionary-candidate"
"tr-TR","names","Depth Fog","Derinlik sisi","13","13","dictionary-candidate"
"tr-TR","names","1.85:1 Theatrical","1.85:1 Sinema","13","13","dictionary-candidate"
"tr-TR","names","Depth Mode","Derinlik modu","13","13","dictionary-candidate"
"tr-TR","names","Hide Self","Kendini gizle","13","13","review-required"
"tr-TR","names","Hand Offset","El kaydırması","13","15","review-required"
"uk-UA","names","Zoom","Масштабування","13","26","review-required"
"uk-UA","names","Depth Cute","М'яка глибина","13","24","review-required"
"uk-UA","names","White Bal.","Баланс білого","13","25","canon-exact"
"uk-UA","names","One-Shot AF","Покадровий АФ","13","25","canon-exact"
"uk-UA","names","Servo AF","Слідкуючий АФ","13","25","canon-exact"
"uk-UA","names","Contrast","Контрастність","13","26","adobe-exact"
"uk-UA","names","Intensity","Інтенсивність","13","26","adobe-exact"
"uk-UA","names","4:3 Classic","4:3 Класичний","13","22","review-required"
"uk-UA","names","Depth Mode","Режим глибини","13","25","review-required"
"uk-UA","names","Zone Softness","М'якість зони","13","24","dictionary-candidate"
"bg-BG","names","Hexagon","Шестоъгълник","12","24","review-required"
"bg-BG","names","Intensity","Интензивност","12","24","review-required"
"bg-BG","names","Roundness","Закръгленост","12","24","review-required"
"bg-BG","names","Pixelation","Пикселизация","12","24","review-required"
"bg-BG","names","Posterize","Постеризация","12","24","review-required"
"bg-BG","sensorBlanks","2","APS-C (1.5×)","12","13","standard-identifier"
"bg-BG","sensorBlanks","3","APS-C (1.6×)","12","13","standard-identifier"
"cs-CZ","names","Blue Back","Modré pozadí","12","14","dictionary-candidate"
"cs-CZ","names","Hexagon","Šestiúhelník","12","15","dictionary-candidate"
"cs-CZ","names","Look Down","Namířit dolů","12","15","dictionary-candidate"
"cs-CZ","names","Hand-Rotate","Otáčet rukou","12","14","dictionary-candidate"
"cs-CZ","names","Vertical Lock","Svislý zámek","12","14","dictionary-candidate"
"cs-CZ","names","Custom","Další funkce","12","14","dictionary-candidate"
"cs-CZ","names","Midtones","Střední tóny","12","15","dictionary-candidate"
"cs-CZ","names","4:3 Classic","4:3 Klasický","12","13","review-required"
"cs-CZ","names","4:5 Portrait","4:5 Na výšku","12","14","review-required"
"cs-CZ","names","Center Y","Svislý střed","12","14","dictionary-candidate"
"cs-CZ","names","Zone Softness","Měkkost zóny","12","14","dictionary-candidate"
"cs-CZ","names","Teleport","Teleportovat","12","12","review-required"
"cs-CZ","names","Vertical","Pouze svisle","12","12","review-required"
"cs-CZ","sensorBlanks","2","APS-C (1.5×)","12","13","standard-identifier"
"cs-CZ","sensorBlanks","3","APS-C (1.6×)","12","13","standard-identifier"
"da-DK","names","Blue Back","Blå baggrund","12","13","review-required"
"da-DK","names","Manual Focus","Manuel fokus","12","12","canon-exact"
"da-DK","names","Mount Swap","Skift holder","12","12","dictionary-candidate"
"da-DK","names","Grid","Hjælpelinjer","12","13","canon-exact"
"da-DK","names","Drive Speed","AF-hastighed","12","12","canon-exact"
"da-DK","names","Magenta-Green","Magenta-Grøn","12","13","dictionary-candidate"
"da-DK","names","Start Distance","Startafstand","12","12","review-required"
"da-DK","names","4:3 Classic","4:3 Klassisk","12","12","review-required"
"da-DK","names","Aspect Ratio","Billedformat","12","12","canon-adapted"
"da-DK","names","Vignette","Vignettering","12","12","review-required"
"da-DK","names","Center Y","Lodret midte","12","12","dictionary-candidate"
"da-DK","names","Focus Distance","Fokusafstand","12","12","review-required"
"da-DK","names","Dolly","Kamerakørsel","12","13","review-required"
"da-DK","names","Show Pins","Vis markører","12","13","review-required"
"da-DK","names","Move","Flyt manuelt","12","12","review-required"
"da-DK","sensorBlanks","2","APS-C (1.5×)","12","13","standard-identifier"
"da-DK","sensorBlanks","3","APS-C (1.6×)","12","13","standard-identifier"
"de-DE","names","Reset","Zurücksetzen","12","13","canon-exact"
"de-DE","names","Spotlight","Scheinwerfer","12","12","dictionary-candidate"
"de-DE","names","White Bal.","Weißabgleich","12","13","canon-exact"
"de-DE","names","Focus Guide","Fokusführung","12","13","canon-exact"
"de-DE","names","Magenta-Green","Magenta-Grün","12","13","dictionary-candidate"
"de-DE","names","Edge Softness","Weiche Kante","12","12","dictionary-candidate"
"de-DE","names","Edge Feather","Weiche Kante","12","12","dictionary-candidate"
"de-DE","names","Vertical","Nur vertikal","12","12","dictionary-candidate"
"de-DE","dynamic","VignetteSoftness","Weiche Kante","12","12","dictionary-candidate"
"de-DE","sensorBlanks","2","APS-C (1.5×)","12","13","standard-identifier"
"de-DE","sensorBlanks","3","APS-C (1.6×)","12","13","standard-identifier"
"de-DE","sensorBlanks","5","1,0-Zoll-Typ","12","12","review-required"
"el-GR","names","Enable","Ενεργοποίηση","12","24","canon-adapted"
"el-GR","names","Picture Style","Στυλ εικόνας","12","23","canon-exact"
"el-GR","names","3D Mode","Κατάσταση 3D","12","21","dictionary-candidate"
"el-GR","names","Mount Swap","Αλλαγή βάσης","12","23","dictionary-candidate"
"el-GR","names","DoF Mode","Βάθος πεδίου","12","23","canon-adapted"
"el-GR","names","4:5 Portrait","4:5 Πορτρέτο","12","20","review-required"
"el-GR","names","Vignette","Βινιετάρισμα","12","24","review-required"
"el-GR","names","Teleport","Τηλεμεταφορά","12","24","review-required"
"el-GR","sensorBlanks","2","APS-C (1.5×)","12","13","standard-identifier"
"el-GR","sensorBlanks","3","APS-C (1.6×)","12","13","standard-identifier"
"es-419","names","Move HUD","Mover el HUD","12","12","review-required"
"es-419","names","Operation","Operación AF","12","13","canon-exact"
"es-419","names","Drive Speed","Velocidad AF","12","12","canon-exact"
"es-419","names","Midtones","Medios tonos","12","12","review-required"
"es-419","names","1:1 Square","1:1 Cuadrado","12","12","review-required"
"es-419","names","Reverse","Ida y vuelta","12","12","review-required"
"es-419","dynamic","CameraPin","Marcador {0}","12","12","review-required"
"es-419","sensorBlanks","2","APS-C (1.5×)","12","13","standard-identifier"
"es-419","sensorBlanks","3","APS-C (1.6×)","12","13","standard-identifier"
"es-ES","names","Move HUD","Mover el HUD","12","12","review-required"
"es-ES","names","Operation","Operación AF","12","13","canon-exact"
"es-ES","names","Drive Speed","Velocidad AF","12","12","canon-exact"
"es-ES","names","Midtones","Medios tonos","12","12","review-required"
"es-ES","names","1:1 Square","1:1 Cuadrado","12","12","review-required"
"es-ES","names","Reverse","Ida y vuelta","12","12","review-required"
"es-ES","dynamic","CameraPin","Marcador {0}","12","12","review-required"
"es-ES","sensorBlanks","2","APS-C (1.5×)","12","13","standard-identifier"
"es-ES","sensorBlanks","3","APS-C (1.6×)","12","13","standard-identifier"
"fi-FI","names","Enable","Ota käyttöön","12","15","canon-adapted"
"fi-FI","names","Look Up","Suuntaa ylös","12","13","dictionary-candidate"
"fi-FI","names","Look Down","Suuntaa alas","12","12","dictionary-candidate"
